scenario,algorithm,instance,success,path_length,length_ratio,curvature,max_curvature,drive_time_curved,comp_time,parameter,value
normal_city,APF,0,1,172.9,1.2142,1.0383,2.536,70.1454,0.02756,goal,0
normal_city,RRT*,0,1,148.887,1.0456,0.0457,1.5437,26.4826,0.21274,goal,0
normal_city,RRT*+Bezier,0,1,148.887,1.0456,0.0457,1.5437,26.4826,0.22844,goal,0
normal_city,Hybrid,0,1,166.795,1.1713,0.6309,1.6744,53.6235,0.30782,goal,0
normal_city,Modified,0,1,153.546,1.0783,0.4921,2.363,49.1317,0.11476,goal,0
normal_city,APF,1,1,175.7,1.239,1.061,2.9467,71.8635,0.02875,goal,0
normal_city,RRT*,1,1,149.135,1.0516,0.0537,0.9836,28.4332,0.368,goal,0
normal_city,RRT*+Bezier,1,1,149.135,1.0516,0.0537,0.9836,28.4332,0.38369,goal,0
normal_city,Hybrid,1,1,156.276,1.102,0.5743,1.4363,54.246,0.29195,goal,0
normal_city,Modified,1,1,158.369,1.1168,0.5712,2.6533,50.8735,0.11237,goal,0
normal_city,APF,2,1,175.7,1.239,1.0798,2.4983,69.4201,0.02832,goal,0
normal_city,RRT*,2,1,145.629,1.0269,0.0605,1.113,28.6634,0.71634,goal,0
normal_city,RRT*+Bezier,2,1,145.629,1.0269,0.0605,1.113,28.6634,0.72924,goal,0
normal_city,Hybrid,2,1,163.263,1.1513,0.5871,1.5655,51.6905,0.09988,goal,0
normal_city,Modified,2,1,153.571,1.0829,0.4959,2.2221,47.1569,0.12135,goal,0
normal_city,APF,3,1,181.3,1.2526,1.1528,3.9216,67.5577,0.02588,goal,0
normal_city,RRT*,3,1,154.728,1.069,0.0435,1.2718,27.0065,0.18032,goal,0
normal_city,RRT*+Bezier,3,1,154.728,1.069,0.0435,1.2718,27.0065,0.18731,goal,0
normal_city,Hybrid,3,1,159.822,1.1042,0.5973,1.5549,52.282,0.07862,goal,0
normal_city,Modified,3,1,155.011,1.071,0.4533,3.7959,43.5009,0.11882,goal,0
normal_city,APF,4,1,174.3,1.219,1.0516,2.6502,67.2604,0.02793,goal,0
normal_city,RRT*,4,1,153.49,1.0735,0.0452,0.9577,27.1063,0.14569,goal,0
normal_city,RRT*+Bezier,4,1,153.49,1.0735,0.0452,0.9577,27.1063,0.15664,goal,0
normal_city,Hybrid,4,1,162.299,1.1351,0.5229,1.6773,51.3293,0.29946,goal,0
normal_city,Modified,4,1,157.473,1.1013,0.5772,2.6889,47.1982,0.11281,goal,0
normal_city,APF,5,1,173.6,1.2242,1.0587,2.5685,69.8896,0.02737,goal,0
normal_city,RRT*,5,1,148.234,1.0453,0.0703,1.4316,30.313,0.62885,goal,0
normal_city,RRT*+Bezier,5,1,148.234,1.0453,0.0703,1.4316,30.313,0.67976,goal,0
normal_city,Hybrid,5,1,163.189,1.1507,0.5998,1.5089,55.2958,1.13266,goal,0
normal_city,Modified,5,1,151.215,1.0663,0.4316,2.6031,45.9984,0.17348,goal,0
normal_city,APF,6,0,29.4,0.2082,0.1084,0.5585,6.7413,0.01037,goal,0
normal_city,RRT*,6,1,150.088,1.0628,0.0568,1.1619,29.3707,0.20623,goal,0
normal_city,RRT*+Bezier,6,1,150.088,1.0628,0.0568,1.1619,29.3707,0.23151,goal,0
normal_city,Hybrid,6,1,149.624,1.0595,0.0793,1.2172,31.6795,0.1418,goal,0
normal_city,Modified,6,1,147.317,1.0431,0.0764,1.2399,31.5507,0.31408,goal,0
normal_city,APF,7,1,174.3,1.2342,1.0788,2.7827,73.5382,0.02864,goal,0
normal_city,RRT*,7,1,142.851,1.0115,0.0681,1.4594,29.4162,1.0867,goal,0
normal_city,RRT*+Bezier,7,1,142.851,1.0115,0.0681,1.4594,29.4162,1.31497,goal,0
