scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
normal_city,APF,0,0,1,175.7,141.983,1.2375,0.02713,0.2467,1.103,2.4439,1.82,2.953,193.7923,124,1,73.9379,0,0.0,nan,753
normal_city,RRT*,0,0,1,147.909,141.983,1.0417,0.19823,0.0984,0.046,1.5556,1.566,4.028,6.7987,7,1,26.3754,0,0.0,nan,21776
normal_city,RRT*+Bezier,0,0,1,147.909,141.983,1.0417,0.21677,0.0984,0.046,1.5556,1.566,4.028,6.7987,7,1,26.3754,0,0.0,nan,21809
normal_city,Hybrid,0,0,1,160.735,141.983,1.1321,0.64584,0.2045,0.6716,1.6889,1.82,2.885,107.9422,84,1,58.6584,1,1.0,nan,67168
normal_city,Modified,0,0,1,150.442,141.983,1.0596,0.13012,0.0513,0.3656,2.2033,1.82,2.953,55.0016,32,1,44.4162,0,0.0,nan,1615
normal_city,Adaptive,0,0,1,175.7,141.983,1.2375,0.04035,0.2467,1.103,2.4439,1.82,2.953,193.7923,124,1,73.9379,0,0.0,nan,753
normal_city,Bezier,0,0,1,170.297,141.983,1.1994,0.50156,0.0558,0.2544,3.507,1.804,2.86,43.3289,32,1,45.0117,1,1.0,nan,45236
normal_city,BSpline,0,0,1,155.379,141.983,1.0943,0.05122,0.0995,0.686,2.2375,1.82,2.926,106.5835,106,1,56.3102,0,0.0,nan,1638
normal_city,Dubins,0,0,1,164.427,141.983,1.1581,0.04617,0.1018,0.609,2.5921,1.791,3.232,100.1332,52,1,58.6987,0,0.0,nan,1397
normal_city,APF,1,0,1,177.1,140.811,1.2577,0.02745,0.2396,1.0713,3.3413,1.78,2.98,189.7222,115,1,68.2133,0,0.0,nan,759
normal_city,RRT*,1,0,1,148.241,140.811,1.0528,0.34666,0.1585,0.0537,1.0368,1.694,3.987,7.9678,10,1,28.2993,0,0.0,nan,36957
normal_city,RRT*+Bezier,1,0,1,148.241,140.811,1.0528,0.361,0.1585,0.0537,1.0368,1.694,3.987,7.9678,10,1,28.2993,0,0.0,nan,36976
normal_city,Hybrid,1,0,1,155.406,140.811,1.1036,0.11929,0.1631,0.5472,1.8917,1.78,2.952,85.0373,68,1,52.312,1,1.0,nan,12265
normal_city,Modified,1,0,1,159.276,140.811,1.1311,0.10837,0.0882,0.6053,3.0624,1.775,2.956,96.4069,48,1,48.7576,0,0.0,nan,1535
normal_city,Adaptive,1,0,1,177.1,140.811,1.2577,0.03966,0.2396,1.0713,3.3413,1.78,2.98,189.7222,115,1,68.2133,0,0.0,nan,759
normal_city,Bezier,1,0,1,156.573,140.811,1.1119,0.5876,0.0593,0.2929,4.8507,1.775,2.925,45.8557,27,1,42.6453,1,1.0,nan,53422
normal_city,BSpline,1,0,1,163.965,140.811,1.1644,0.05149,0.1293,0.8625,3.1955,1.779,2.961,141.4143,113,1,55.5743,0,0.0,nan,1561
normal_city,Dubins,1,0,1,163.64,140.811,1.1621,0.04836,0.0768,0.4718,3.4739,1.762,3.274,77.2,35,1,52.7987,0,0.0,nan,1467
normal_city,APF,2,0,1,175.0,140.811,1.2428,0.0269,0.2496,1.1158,2.8588,1.768,2.934,195.2571,119,1,70.3096,0,0.0,nan,750
normal_city,RRT*,2,0,1,144.447,140.811,1.0258,0.65105,0.1515,0.0626,1.2002,2.293,3.994,9.043,9,1,28.6809,0,0.0,nan,64991
normal_city,RRT*+Bezier,2,0,1,144.447,140.811,1.0258,0.67884,0.1515,0.0626,1.2002,2.293,3.994,9.043,9,1,28.6809,0,0.0,nan,65014
normal_city,Hybrid,2,0,1,157.733,140.811,1.1202,1.50509,0.1859,0.6147,3.2643,1.768,2.884,96.953,74,1,55.2703,1,1.0,nan,138458
normal_city,Modified,2,0,1,153.253,140.811,1.0884,0.11658,0.0692,0.4782,3.3136,1.766,2.936,73.2923,39,1,43.8255,0,0.0,nan,1528
normal_city,Adaptive,2,0,1,175.0,140.811,1.2428,0.03921,0.2496,1.1158,2.8588,1.768,2.934,195.2571,119,1,70.3096,0,0.0,nan,750
normal_city,Bezier,2,0,1,145.431,140.811,1.0328,0.20347,0.0457,0.222,1.3814,1.768,2.886,32.2929,23,1,40.0411,1,1.0,nan,14549
normal_city,BSpline,2,0,1,156.987,140.811,1.1149,0.0502,0.1121,0.7563,2.6706,1.767,2.924,118.7303,106,1,51.055,0,0.0,nan,1556
normal_city,Dubins,2,0,1,155.427,140.811,1.1038,0.04618,0.0925,0.5423,3.4586,1.73,2.908,84.281,44,1,48.452,0,0.0,nan,1342
normal_city,APF,3,0,1,182.7,143.74,1.271,0.02397,0.2699,1.2066,4.4751,1.742,3.408,220.4484,125,1,68.1822,0,0.0,nan,783
normal_city,RRT*,3,0,1,154.421,143.74,1.0743,0.1596,0.1169,0.0428,1.3413,2.109,5.428,6.6128,4,1,26.6886,0,0.0,nan,18628
normal_city,RRT*+Bezier,3,0,1,154.421,143.74,1.0743,0.17372,0.1169,0.0428,1.3413,2.109,5.428,6.6128,4,1,26.6886,0,0.0,nan,18650
normal_city,Hybrid,3,0,1,162.804,143.74,1.1326,0.08787,0.1592,0.596,1.6263,1.742,3.538,97.0262,73,1,53.8025,1,1.0,nan,9610
normal_city,Modified,3,0,1,157.838,143.74,1.0981,0.1745,0.0717,0.4025,2.8915,1.742,3.246,63.5322,33,1,45.0641,1,1.0,nan,9954
normal_city,Adaptive,3,0,1,172.815,143.74,1.2023,0.05302,0.2392,0.9437,2.9179,1.742,3.329,163.0846,103,1,63.5656,1,1.0,nan,3643
normal_city,Bezier,3,0,1,151.252,143.74,1.0523,0.12088,0.0503,0.2738,1.7659,1.502,3.338,41.4137,22,1,38.674,1,1.0,nan,6775
normal_city,BSpline,3,0,1,157.609,143.74,1.0965,0.10735,0.1211,0.6805,2.9576,1.742,3.188,107.259,90,1,50.0806,1,1.0,nan,9902
normal_city,Dubins,3,0,1,157.432,143.74,1.0953,0.40041,0.0872,0.4246,8.4713,1.617,3.246,66.8513,33,1,47.7122,1,1.0,nan,42558
normal_city,APF,4,0,1,178.5,142.569,1.252,0.03028,0.2511,1.1226,4.2543,1.78,2.975,200.392,117,1,68.8736,0,0.0,nan,765
normal_city,RRT*,4,0,1,152.805,142.569,1.0718,0.13144,0.1218,0.0451,1.4386,1.602,3.799,6.8865,7,1,27.0162,0,0.0,nan,14894
normal_city,RRT*+Bezier,4,0,1,152.805,142.569,1.0718,0.15059,0.1218,0.0451,1.4386,1.602,3.799,6.8865,7,1,27.0162,0,0.0,nan,14927
normal_city,Hybrid,4,0,1,162.057,142.569,1.1367,0.29818,0.165,0.5311,1.3299,1.78,2.896,86.0621,68,1,50.9633,1,1.0,nan,29451
normal_city,Modified,4,0,1,159.383,142.569,1.1179,0.10792,0.0892,0.6152,3.9804,1.775,2.947,98.051,46,1,46.4283,0,0.0,nan,1541
normal_city,Adaptive,4,0,1,178.5,142.569,1.252,0.04656,0.2511,1.1226,4.2543,1.78,2.975,200.392,117,1,68.8736,0,0.0,nan,765
normal_city,Bezier,4,0,1,150.979,142.569,1.059,0.24879,0.0559,0.2874,2.1466,1.775,2.86,43.3897,27,1,41.8972,1,1.0,nan,19315
normal_city,BSpline,4,0,1,163.349,142.569,1.1458,0.04896,0.1276,0.8591,4.526,1.779,2.935,140.3351,113,1,56.0291,0,0.0,nan,1565
normal_city,Dubins,4,0,1,168.644,142.569,1.1829,0.04673,0.0948,0.5776,4.1156,1.585,3.302,97.4067,39,1,52.8413,0,0.0,nan,1464
normal_city,APF,5,0,1,177.1,140.811,1.2577,0.03318,0.2538,1.1345,3.2081,1.82,2.965,200.9266,124,1,74.2637,0,0.0,nan,759
normal_city,RRT*,5,0,1,147.857,140.811,1.05,0.26755,0.1149,0.0415,1.3036,2.036,4.025,6.1367,7,1,25.68,0,0.0,nan,28342
normal_city,RRT*+Bezier,5,0,1,147.857,140.811,1.05,0.27924,0.1149,0.0415,1.3036,2.036,4.025,6.1367,7,1,25.68,0,0.0,nan,28354
normal_city,Hybrid,5,0,1,168.456,140.811,1.1963,0.43319,0.1865,0.5878,2.034,1.82,2.94,99.0158,78,1,58.205,1,1.0,nan,43248
normal_city,Modified,5,0,1,151.623,140.811,1.0768,0.12134,0.0603,0.4383,2.8413,1.82,2.962,66.4536,35,1,44.8947,0,0.0,nan,1610
normal_city,Adaptive,5,0,1,177.1,140.811,1.2577,0.03888,0.2538,1.1345,3.2081,1.82,2.965,200.9266,124,1,74.2637,0,0.0,nan,759
normal_city,Bezier,5,0,1,147.926,140.811,1.0505,0.31576,0.0525,0.2765,1.3084,1.625,2.902,40.9009,30,1,41.8067,1,1.0,nan,26177
normal_city,BSpline,5,0,1,157.078,140.811,1.1155,0.04985,0.1169,0.8204,3.0353,1.82,2.922,128.8744,125,1,58.4092,0,0.0,nan,1637
normal_city,Dubins,5,0,1,151.268,140.811,1.0743,0.04636,0.0693,0.4319,2.6898,1.791,3.073,65.326,34,1,45.861,0,0.0,nan,1448
normal_city,APF,6,0,0,29.4,140.811,0.2088,0.01056,0.0249,0.1093,0.5632,1.82,2.955,3.2127,4,1,6.776,0,0.0,nan,128
normal_city,RRT*,6,0,1,148.175,140.811,1.0523,0.26949,0.1071,0.0477,1.2022,2.021,3.953,7.0673,7,1,27.388,0,0.0,nan,28459
normal_city,RRT*+Bezier,6,0,1,148.175,140.811,1.0523,0.28959,0.1071,0.0477,1.2022,2.021,3.953,7.0673,7,1,27.388,0,0.0,nan,28483
normal_city,Hybrid,6,0,1,148.492,140.811,1.0545,0.13695,0.0675,0.0799,1.3452,1.82,3.275,11.8718,13,1,31.7164,1,1.0,nan,14780
normal_city,Modified,6,0,1,145.826,140.811,1.0356,0.28319,0.0446,0.0769,1.2789,1.611,3.124,11.2075,12,1,31.3788,1,1.0,nan,28495
normal_city,Adaptive,6,0,1,150.595,140.811,1.0695,0.49813,0.053,0.0642,1.3908,1.82,3.272,9.664,9,1,29.5876,1,1.0,nan,50783
normal_city,Bezier,6,0,1,151.316,140.811,1.0746,0.37711,0.0386,0.0632,0.8822,1.807,3.156,9.5691,9,1,29.6652,1,1.0,nan,36868
normal_city,BSpline,6,0,1,155.252,140.811,1.1026,0.2914,0.0407,0.0659,1.1759,1.819,3.144,10.2303,8,1,30.8108,1,1.0,nan,31990
normal_city,Dubins,6,0,1,146.2,140.811,1.0383,0.27778,0.054,0.0766,1.0692,1.82,3.366,11.1926,11,1,30.8143,1,1.0,nan,28896
