instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
0,0.5,APF reactive,1,1,0,119,0,0.01349,357,83.3
0,0.5,RRT* plan once,0,0,1,44,0,0.04147,7169,30.8
0,0.5,RRT* replan,1,1,0,134,4,0.20594,33852,93.8
0,0.5,Modified plan once,0,0,1,44,0,0.01223,342,30.8
0,0.5,Modified replan,1,1,0,136,5,0.12077,7061,95.2
0,1.0,APF reactive,1,1,0,116,0,0.01215,348,81.2
0,1.0,RRT* plan once,0,0,1,50,0,0.04099,7169,35.0
0,1.0,RRT* replan,1,1,0,138,4,0.1665,28492,96.6
0,1.0,Modified plan once,1,1,0,114,0,0.01178,342,79.8
0,1.0,Modified replan,1,1,0,122,7,0.12419,9304,85.4
0,1.5,APF reactive,0,0,1,55,0,0.00632,165,38.5
0,1.5,RRT* plan once,0,0,1,55,0,0.04032,7169,38.5
0,1.5,RRT* replan,0,0,1,79,25,0.92019,135814,55.3
0,1.5,Modified plan once,0,0,1,55,0,0.01177,342,38.5
0,1.5,Modified replan,0,0,1,57,6,0.63595,49110,39.9
1,0.5,APF reactive,0,0,1,87,0,0.00989,261,60.9
1,0.5,RRT* plan once,1,1,0,133,0,0.03411,5583,93.1
1,0.5,RRT* replan,0,1,1,122,21,0.61803,105658,85.4
1,0.5,Modified plan once,0,0,1,47,0,0.01634,418,32.9
1,0.5,Modified replan,1,1,0,148,6,0.1793,11788,103.6
1,1.0,APF reactive,1,1,0,118,0,0.01301,354,82.6
1,1.0,RRT* plan once,1,1,0,133,0,0.03483,5583,93.1
1,1.0,RRT* replan,0,1,1,120,7,0.2362,40859,84.0
1,1.0,Modified plan once,0,0,1,63,0,0.01632,418,44.1
1,1.0,Modified replan,0,1,1,115,6,0.08703,3919,80.5
1,1.5,APF reactive,1,1,0,126,0,0.01351,378,88.2
1,1.5,RRT* plan once,0,0,1,72,0,0.03416,5583,50.4
1,1.5,RRT* replan,0,1,1,133,8,0.26443,44389,93.1
1,1.5,Modified plan once,0,0,1,45,0,0.01659,418,31.5
1,1.5,Modified replan,0,0,1,49,6,0.67165,42430,34.3
2,0.5,APF reactive,1,1,0,117,0,0.01224,351,81.9
