instance,speed_factor,driver,success,reached,collided,steps,replans,comp_time,collision_checks,path_length
0,0.5,APF reactive,1,1,0,115,0,0.01305,345,80.5
0,0.5,RRT* plan once,1,1,0,117,0,0.04781,7420,81.9
0,0.5,RRT* replan,1,1,0,124,0,0.04631,6997,86.8
0,0.5,Modified plan once,0,0,1,63,0,0.01281,342,44.1
0,0.5,Modified replan,0,1,1,114,4,0.04283,1057,79.8
0,1.0,APF reactive,0,0,1,64,0,0.00785,192,44.8
0,1.0,RRT* plan once,1,1,0,117,0,0.04782,7420,81.9
0,1.0,RRT* replan,1,1,0,122,3,0.14546,22123,85.4
0,1.0,Modified plan once,0,0,1,59,0,0.01265,342,41.3
0,1.0,Modified replan,1,1,0,127,5,0.13848,6275,88.9
0,1.5,APF reactive,0,0,1,61,0,0.00742,183,42.7
0,1.5,RRT* plan once,0,0,1,64,0,0.04762,7420,44.8
0,1.5,RRT* replan,0,1,1,135,6,0.247,36975,94.5
0,1.5,Modified plan once,0,0,1,59,0,0.0126,342,41.3
0,1.5,Modified replan,0,0,1,63,8,0.82275,58928,44.1
1,0.5,APF reactive,1,1,0,116,0,0.01282,348,81.2
1,0.5,RRT* plan once,0,0,1,55,0,0.0574,8814,38.5
1,0.5,RRT* replan,1,1,0,128,2,0.0808,12020,89.6
1,0.5,Modified plan once,0,0,1,58,0,0.01246,342,40.6
1,0.5,Modified replan,0,1,1,115,8,0.08926,2030,80.5
1,1.0,APF reactive,0,0,0,101,0,0.0115,306,70.7
1,1.0,RRT* plan once,0,0,1,61,0,0.05686,8814,42.7
1,1.0,RRT* replan,1,1,0,126,4,0.16834,25667,88.2
1,1.0,Modified plan once,0,0,1,60,0,0.01244,342,42.0
1,1.0,Modified replan,0,1,1,125,11,0.28366,14333,87.5
1,1.5,APF reactive,0,0,1,67,0,0.00792,201,46.9
1,1.5,RRT* plan once,0,0,1,48,0,0.05645,8814,33.6
1,1.5,RRT* replan,1,1,0,122,6,0.19181,29061,85.4
1,1.5,Modified plan once,0,0,1,48,0,0.01258,342,33.6
1,1.5,Modified replan,0,0,1,50,6,0.71092,53547,35.0
2,0.5,APF reactive,1,1,0,120,0,0.01362,360,84.0
2,0.5,RRT* plan once,0,0,1,62,0,0.03392,5324,43.4
2,0.5,RRT* replan,1,1,0,119,2,0.09553,14418,83.3
2,0.5,Modified plan once,0,0,1,61,0,0.01818,415,42.7
2,0.5,Modified replan,1,1,0,135,2,0.06271,2642,94.5
