scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
normal_city,APF,0,0,1,177.1,140.811,1.2577,0.04104,0.247,1.104,3.4849,1.759,2.956,195.5258,120,1,72.8233,0,0,nan,759
normal_city,RRT*,0,0,1,143.121,140.811,1.0164,3.14318,0.185,0.0731,1.0706,2.24,4.238,10.4593,13,1,30.7388,0,0,nan,174970
normal_city,RRT*,0,1,1,143.757,140.811,1.0209,2.40585,0.1697,0.0705,1.3217,1.976,3.996,10.1309,11,1,29.5815,0,0,nan,136295
normal_city,RRT*,0,2,1,142.947,140.811,1.0152,1.43351,0.1356,0.0536,1.1659,2.289,3.982,7.6677,10,1,27.8071,0,0,nan,79133
normal_city,RRT*,0,3,1,144.529,140.811,1.0264,1.18872,0.1506,0.0622,1.4983,2.243,4.15,8.9883,8,1,28.4269,0,0,nan,59223
normal_city,RRT*,0,4,1,143.835,140.811,1.0215,0.68477,0.174,0.0684,1.1685,1.957,4.221,9.8388,11,1,29.3807,0,0,nan,42524
normal_city,RRT*,0,5,1,160.162,140.811,1.1374,0.40589,0.0884,0.0295,1.0643,1.936,4.197,4.7203,3,1,25.4206,0,0,nan,25551
normal_city,RRT*,0,6,1,144.227,140.811,1.0243,1.05304,0.1492,0.0585,1.169,1.828,4.126,8.4367,8,1,27.6684,0,0,nan,64030
normal_city,RRT*,0,7,1,147.777,140.811,1.0495,1.03152,0.1629,0.0554,1.3575,2.082,4.158,8.1866,8,1,27.9908,0,0,nan,64691
normal_city,RRT*,0,8,1,146.375,140.811,1.0395,0.57524,0.1383,0.0594,1.5617,1.782,3.974,8.6902,9,1,28.0882,0,0,nan,38195
normal_city,RRT*,0,9,1,144.486,140.811,1.0261,0.58091,0.142,0.0587,0.9933,1.938,3.912,8.4756,9,1,28.2164,0,0,nan,37736
normal_city,RRT*+Bezier,0,0,1,143.121,140.811,1.0164,3.00689,0.185,0.0731,1.0706,2.24,4.238,10.4593,13,1,30.7388,0,0,nan,174989
normal_city,RRT*+Bezier,0,1,1,143.757,140.811,1.0209,2.22635,0.1697,0.0705,1.3217,1.976,3.996,10.1309,11,1,29.5815,0,0,nan,136337
normal_city,RRT*+Bezier,0,2,1,142.947,140.811,1.0152,1.26476,0.1356,0.0536,1.1659,2.289,3.982,7.6677,10,1,27.8071,0,0,nan,79160
normal_city,RRT*+Bezier,0,3,1,144.529,140.811,1.0264,0.98031,0.1506,0.0622,1.4983,2.243,4.15,8.9883,8,1,28.4269,0,0,nan,59260
normal_city,RRT*+Bezier,0,4,1,143.835,140.811,1.0215,0.67384,0.174,0.0684,1.1685,1.957,4.221,9.8388,11,1,29.3807,0,0,nan,42545
normal_city,RRT*+Bezier,0,5,1,160.162,140.811,1.1374,0.44821,0.0884,0.0295,1.0643,1.936,4.197,4.7203,3,1,25.4206,0,0,nan,25571
normal_city,RRT*+Bezier,0,6,1,144.227,140.811,1.0243,1.07378,0.1492,0.0585,1.169,1.828,4.126,8.4367,8,1,27.6684,0,0,nan,64059
normal_city,RRT*+Bezier,0,7,1,147.777,140.811,1.0495,1.06561,0.1629,0.0554,1.3575,2.082,4.158,8.1866,8,1,27.9908,0,0,nan,64718
normal_city,RRT*+Bezier,0,8,1,146.375,140.811,1.0395,0.56982,0.1383,0.0594,1.5617,1.782,3.974,8.6902,9,1,28.0882,0,0,nan,38214
