scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks
normal_city,APF,0,0,0,45.5,144.912,0.314,0.01176,0.0865,0.3822,0.8049,1.528,2.663,17.3883,16,1,12.0872,0,0,nan,197
normal_city,RRT*,0,0,1,145.949,144.912,1.0072,0.15993,0.1119,0.0626,1.3,2.035,5.069,9.1415,9,1,29.1781,0,0,nan,10385
normal_city,RRT*+Bezier,0,0,1,145.949,144.912,1.0072,0.1641,0.1119,0.0626,1.3,2.035,5.069,9.1415,9,1,29.1781,0,0,nan,10442
normal_city,Hybrid,0,0,1,165.807,144.912,1.1442,0.18603,0.0961,0.1822,3.4963,1.528,3.761,30.2023,27,1,40.5961,1,1,nan,11747
normal_city,Modified,0,0,1,162.323,144.912,1.1202,0.12701,0.0415,0.1261,3.4517,1.528,3.502,20.47,14,1,36.2488,1,1,nan,6398
normal_city,Adaptive,0,0,1,165.694,144.912,1.1434,0.26076,0.0847,0.1621,3.8729,1.528,3.749,26.8662,24,1,37.4593,1,1,nan,14015
normal_city,Bezier,0,0,1,160.82,144.912,1.1098,0.18804,0.0416,0.1283,3.6726,1.528,3.486,20.6331,14,1,34.7179,1,1,nan,9942
normal_city,APF,1,0,1,173.6,140.811,1.2329,0.04164,0.2358,1.0542,2.66,1.759,2.934,183.008,110,1,70.9311,0,0,nan,744
normal_city,RRT*,1,0,1,151.463,140.811,1.0756,0.4313,0.0981,0.0509,0.979,1.975,3.966,7.7053,6,1,28.5599,0,0,nan,25101
normal_city,RRT*+Bezier,1,0,1,151.463,140.811,1.0756,0.45387,0.0981,0.0509,0.979,1.975,3.966,7.7053,6,1,28.5599,0,0,nan,25148
normal_city,Hybrid,1,0,1,173.6,140.811,1.2329,0.03589,0.2358,1.0542,2.66,1.759,2.934,183.008,110,1,70.9311,0,0,nan,744
normal_city,Modified,1,0,1,153.488,140.811,1.09,0.13657,0.0571,0.4921,2.4722,1.759,2.901,75.5256,37,1,46.8753,0,0,nan,1730
normal_city,Adaptive,1,0,1,173.6,140.811,1.2329,0.09348,0.2358,1.0542,2.66,1.759,2.934,183.008,110,1,70.9311,0,0,nan,744
normal_city,Bezier,1,0,1,153.488,140.811,1.09,0.23015,0.0571,0.4921,2.4722,1.759,2.901,75.5256,37,1,46.8753,0,0,nan,1730
normal_city,APF,2,0,1,182.7,143.74,1.271,0.03289,0.265,1.1849,4.3135,1.794,3.244,216.4797,123,1,71.3481,0,0,nan,783
normal_city,RRT*,2,0,1,148.72,143.74,1.0346,0.31983,0.1575,0.0832,1.445,1.561,3.937,12.3713,13,1,33.3025,0,0,nan,18290
normal_city,RRT*+Bezier,2,0,1,145.755,143.74,1.014,0.33596,0.0925,0.0817,1.4712,1.561,3.807,11.9102,11,1,31.762,0,0,nan,18453
normal_city,Hybrid,2,0,1,182.7,143.74,1.271,0.03281,0.265,1.1849,4.3135,1.794,3.244,216.4797,123,1,71.3481,0,0,nan,783
normal_city,Modified,2,0,1,167.9,143.74,1.1681,0.11002,0.1048,0.814,4.0922,1.794,3.15,136.6723,63,1,53.2322,0,0,nan,1624
normal_city,Adaptive,2,0,1,182.7,143.74,1.271,0.0834,0.265,1.1849,4.3135,1.794,3.244,216.4797,123,1,71.3481,0,0,nan,783
normal_city,Bezier,2,0,1,167.9,143.74,1.1681,0.12522,0.1048,0.814,4.0922,1.794,3.15,136.6723,63,1,53.2322,0,0,nan,1624
normal_city,APF,3,0,1,172.9,143.74,1.2029,0.02889,0.2329,1.0411,3.2359,1.759,3.637,180.0044,113,1,65.8114,0,0,nan,741
normal_city,RRT*,3,0,1,157.433,143.74,1.0953,0.17256,0.0938,0.0524,1.1281,1.66,4.736,8.248,8,1,30.0431,0,0,nan,11392
normal_city,RRT*+Bezier,3,0,1,156.775,143.74,1.0907,0.18106,0.0382,0.046,1.2417,1.85,4.169,7.2099,6,1,27.455,0,0,nan,11687
normal_city,Hybrid,3,0,1,172.9,143.74,1.2029,0.02986,0.2329,1.0411,3.2359,1.759,3.637,180.0044,113,1,65.8114,0,0,nan,741
normal_city,Modified,3,0,1,152.107,143.74,1.0582,0.10331,0.0544,0.4583,2.9344,1.759,3.301,69.7148,36,1,44.2526,0,0,nan,1651
normal_city,Adaptive,3,0,1,172.9,143.74,1.2029,0.04478,0.2329,1.0411,3.2359,1.759,3.637,180.0044,113,1,65.8114,0,0,nan,741
normal_city,Bezier,3,0,1,152.107,143.74,1.0582,0.09425,0.0544,0.4583,2.9344,1.759,3.301,69.7148,36,1,44.2526,0,0,nan,1651
normal_city,APF,4,0,1,168.0,139.64,1.2031,0.05493,0.2288,1.0225,1.9376,1.82,3.285,171.7783,116,1,64.8145,0,0,nan,720
normal_city,RRT*,4,0,1,151.49,139.64,1.0849,0.33853,0.1299,0.062,1.121,1.596,4.275,9.385,9,1,30.7045,0,0,nan,9975
normal_city,RRT*+Bezier,4,0,1,151.49,139.64,1.0849,0.32936,0.1299,0.062,1.121,1.596,4.275,9.385,9,1,30.7045,0,0,nan,10024
normal_city,Hybrid,4,0,1,168.0,139.64,1.2031,0.05994,0.2288,1.0225,1.9376,1.82,3.285,171.7783,116,1,64.8145,0,0,nan,720
normal_city,Modified,4,0,1,148.955,139.64,1.0667,0.17623,0.051,0.4412,2.0041,1.82,3.099,65.7178,35,1,44.543,0,0,nan,1704
normal_city,Adaptive,4,0,1,168.0,139.64,1.2031,0.05567,0.2288,1.0225,1.9376,1.82,3.285,171.7783,116,1,64.8145,0,0,nan,720
normal_city,Bezier,4,0,1,148.955,139.64,1.0667,0.10246,0.051,0.4412,2.0041,1.82,3.099,65.7178,35,1,44.543,0,0,nan,1704
normal_city,APF,5,0,1,172.2,143.154,1.2029,0.03393,0.2379,1.0635,3.3141,1.768,3.915,183.1324,107,1,61.351,0,0,nan,738
normal_city,RRT*,5,0,1,152.01,143.154,1.0619,0.1397,0.1214,0.0627,1.3325,1.54,4.893,9.5342,10,1,31.2141,0,0,nan,8443
normal_city,RRT*+Bezier,5,0,1,148.837,143.154,1.0397,0.18241,0.0618,0.0522,1.2826,1.54,4.561,7.7623,5,1,27.9019,0,0,nan,8637
normal_city,Hybrid,5,0,1,172.2,143.154,1.2029,0.03467,0.2379,1.0635,3.3141,1.768,3.915,183.1324,107,1,61.351,0,0,nan,738
