scenario,metric,comparison,test,n_pairs_observed,n_instances,power,observed_median_difference,observed_iqr
blocked_road,success,Modified vs APF,mcnemar,20,10,0.998,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,20,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,30,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,50,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,75,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,100,1.0,1.0,0.0
normal_city,success,Modified vs APF,mcnemar,20,10,0.056,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,20,0.598,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,30,0.938,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,50,1.0,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,75,1.0,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,100,1.0,0.0,1.0
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,10,0.596,-2.0574,0.8748
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,20,0.916,-2.0574,0.8748
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,30,0.984,-2.0574,0.8748
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,50,1.0,-2.0574,0.8748
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,75,1.0,-2.0574,0.8748
normal_city,mission_time,Modified vs Hybrid,wilcoxon,20,100,1.0,-2.0574,0.8748
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,10,0.094,-0.5008,2.7928
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,20,0.244,-0.5008,2.7928
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,30,0.234,-0.5008,2.7928
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,50,0.416,-0.5008,2.7928
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,75,0.572,-0.5008,2.7928
dense_city,mission_time,Modified vs Hybrid,wilcoxon,20,100,0.682,-0.5008,2.7928
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,10,0.178,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,20,0.362,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,30,0.52,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,50,0.712,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,75,0.874,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,100,0.954,-0.2046,0.7616
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,10,0.164,0.1993,2.0724
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,20,0.304,0.1993,2.0724
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,30,0.458,0.1993,2.0724
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,50,0.738,0.1993,2.0724
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,75,0.876,0.1993,2.0724
normal_city,mission_time,Modified vs RRT*,wilcoxon,20,100,0.948,0.1993,2.0724
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,10,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,20,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,30,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,50,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,75,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,100,1.0,1.7145,0.8279
