planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,0,max_escapes,3,success,1.0
Modified,normal_city,1,max_escapes,3,success,1.0
Modified,normal_city,2,max_escapes,3,success,1.0
Modified,normal_city,3,max_escapes,3,success,1.0
Modified,normal_city,4,max_escapes,3,success,1.0
Modified,normal_city,5,max_escapes,3,success,1.0
Modified,normal_city,6,max_escapes,3,success,1.0
Modified,normal_city,7,max_escapes,3,success,1.0
Modified,normal_city,8,max_escapes,3,success,1.0
Modified,normal_city,9,max_escapes,3,success,1.0
Modified,normal_city,10,max_escapes,3,success,1.0
Modified,normal_city,11,max_escapes,3,success,1.0
Modified,normal_city,12,max_escapes,3,success,1.0
Modified,normal_city,13,max_escapes,3,success,1.0
Modified,normal_city,14,max_escapes,3,success,1.0
Modified,normal_city,15,max_escapes,3,success,1.0
Modified,normal_city,16,max_escapes,3,success,1.0
Modified,normal_city,17,max_escapes,3,success,1.0
Modified,normal_city,18,max_escapes,3,success,1.0
Modified,normal_city,19,max_escapes,3,success,1.0
Modified,normal_city,20,max_escapes,3,success,1.0
Modified,normal_city,21,max_escapes,3,success,1.0
Modified,normal_city,22,max_escapes,3,success,1.0
Modified,normal_city,23,max_escapes,3,success,1.0
Modified,normal_city,24,max_escapes,3,success,1.0
Modified,normal_city,25,max_escapes,3,success,1.0
Modified,normal_city,26,max_escapes,3,success,1.0
Modified,normal_city,27,max_escapes,3,success,1.0
Modified,normal_city,28,max_escapes,3,success,1.0
Modified,normal_city,29,max_escapes,3,success,1.0
Modified,blocked_road,0,max_escapes,3,success,1.0
Modified,blocked_road,1,max_escapes,3,success,1.0
Modified,blocked_road,2,max_escapes,3,success,1.0
Modified,blocked_road,3,max_escapes,3,success,1.0
Modified,blocked_road,4,max_escapes,3,success,1.0
Modified,blocked_road,5,max_escapes,3,success,1.0
Modified,blocked_road,6,max_escapes,3,success,1.0
Modified,blocked_road,7,max_escapes,3,success,1.0
Modified,blocked_road,8,max_escapes,3,success,1.0
Modified,blocked_road,9,max_escapes,3,success,1.0
Modified,blocked_road,10,max_escapes,3,success,1.0
Modified,blocked_road,11,max_escapes,3,success,1.0
Modified,blocked_road,12,max_escapes,3,success,1.0
Modified,blocked_road,13,max_escapes,3,success,1.0
Modified,blocked_road,14,max_escapes,3,success,1.0
Modified,blocked_road,15,max_escapes,3,success,1.0
Modified,blocked_road,16,max_escapes,3,success,1.0
Modified,blocked_road,17,max_escapes,3,success,1.0
Modified,blocked_road,18,max_escapes,3,success,1.0
Modified,blocked_road,19,max_escapes,3,success,1.0
Modified,blocked_road,20,max_escapes,3,success,1.0
Modified,blocked_road,21,max_escapes,3,success,1.0
Modified,blocked_road,22,max_escapes,3,success,1.0
Modified,blocked_road,23,max_escapes,3,success,1.0
Modified,blocked_road,24,max_escapes,3,success,1.0
Modified,blocked_road,25,max_escapes,3,success,1.0
Modified,blocked_road,26,max_escapes,3,success,1.0
Modified,blocked_road,27,max_escapes,3,success,1.0
Modified,blocked_road,28,max_escapes,3,success,1.0
Modified,blocked_road,29,max_escapes,3,success,1.0
Modified,dense_city,0,max_escapes,3,success,1.0
Modified,dense_city,1,max_escapes,3,success,1.0
Modified,dense_city,2,max_escapes,3,success,1.0
Modified,dense_city,3,max_escapes,3,success,1.0
Modified,dense_city,4,max_escapes,3,success,1.0
