planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,0,smooth_samples,12,success,1.0
Modified,normal_city,1,smooth_samples,12,success,1.0
Modified,normal_city,2,smooth_samples,12,success,1.0
Modified,normal_city,3,smooth_samples,12,success,1.0
Modified,normal_city,4,smooth_samples,12,success,1.0
Modified,normal_city,5,smooth_samples,12,success,1.0
Modified,normal_city,6,smooth_samples,12,success,1.0
Modified,normal_city,7,smooth_samples,12,success,1.0
Modified,normal_city,8,smooth_samples,12,success,1.0
Modified,normal_city,9,smooth_samples,12,success,1.0
Modified,normal_city,10,smooth_samples,12,success,1.0
Modified,normal_city,11,smooth_samples,12,success,1.0
Modified,normal_city,12,smooth_samples,12,success,1.0
Modified,normal_city,13,smooth_samples,12,success,1.0
Modified,normal_city,14,smooth_samples,12,success,1.0
Modified,normal_city,15,smooth_samples,12,success,1.0
Modified,normal_city,16,smooth_samples,12,success,1.0
Modified,normal_city,17,smooth_samples,12,success,1.0
Modified,normal_city,18,smooth_samples,12,success,1.0
Modified,normal_city,19,smooth_samples,12,success,1.0
Modified,normal_city,20,smooth_samples,12,success,1.0
Modified,normal_city,21,smooth_samples,12,success,1.0
Modified,normal_city,22,smooth_samples,12,success,1.0
Modified,normal_city,23,smooth_samples,12,success,1.0
Modified,normal_city,24,smooth_samples,12,success,1.0
Modified,normal_city,25,smooth_samples,12,success,1.0
Modified,normal_city,26,smooth_samples,12,success,1.0
Modified,normal_city,27,smooth_samples,12,success,1.0
Modified,normal_city,28,smooth_samples,12,success,1.0
Modified,normal_city,29,smooth_samples,12,success,1.0
Modified,blocked_road,0,smooth_samples,12,success,1.0
Modified,blocked_road,1,smooth_samples,12,success,1.0
Modified,blocked_road,2,smooth_samples,12,success,1.0
Modified,blocked_road,3,smooth_samples,12,success,1.0
Modified,blocked_road,4,smooth_samples,12,success,1.0
Modified,blocked_road,5,smooth_samples,12,success,1.0
Modified,blocked_road,6,smooth_samples,12,success,1.0
Modified,blocked_road,7,smooth_samples,12,success,1.0
Modified,blocked_road,8,smooth_samples,12,success,1.0
Modified,blocked_road,9,smooth_samples,12,success,1.0
Modified,blocked_road,10,smooth_samples,12,success,1.0
Modified,blocked_road,11,smooth_samples,12,success,1.0
Modified,blocked_road,12,smooth_samples,12,success,1.0
Modified,blocked_road,13,smooth_samples,12,success,1.0
Modified,blocked_road,14,smooth_samples,12,success,1.0
Modified,blocked_road,15,smooth_samples,12,success,1.0
Modified,blocked_road,16,smooth_samples,12,success,1.0
Modified,blocked_road,17,smooth_samples,12,success,1.0
Modified,blocked_road,18,smooth_samples,12,success,1.0
Modified,blocked_road,19,smooth_samples,12,success,1.0
Modified,blocked_road,20,smooth_samples,12,success,1.0
Modified,blocked_road,21,smooth_samples,12,success,1.0
Modified,blocked_road,22,smooth_samples,12,success,1.0
Modified,blocked_road,23,smooth_samples,12,success,1.0
Modified,blocked_road,24,smooth_samples,12,success,1.0
Modified,blocked_road,25,smooth_samples,12,success,1.0
Modified,blocked_road,26,smooth_samples,12,success,1.0
Modified,blocked_road,27,smooth_samples,12,success,1.0
Modified,blocked_road,28,smooth_samples,12,success,1.0
Modified,blocked_road,29,smooth_samples,12,success,1.0
Modified,dense_city,0,smooth_samples,12,success,1.0
Modified,dense_city,1,smooth_samples,12,success,1.0
Modified,dense_city,2,smooth_samples,12,success,1.0
Modified,dense_city,3,smooth_samples,12,success,1.0
Modified,dense_city,4,smooth_samples,12,success,1.0
Modified,dense_city,5,smooth_samples,12,success,1.0
Modified,dense_city,6,smooth_samples,12,success,1.0
Modified,dense_city,7,smooth_samples,12,success,1.0
Modified,dense_city,8,smooth_samples,12,success,1.0
Modified,dense_city,9,smooth_samples,12,success,0.0
Modified,dense_city,10,smooth_samples,12,success,1.0
Modified,dense_city,11,smooth_samples,12,success,1.0
Modified,dense_city,12,smooth_samples,12,success,1.0
Modified,dense_city,13,smooth_samples,12,success,1.0
Modified,dense_city,14,smooth_samples,12,success,1.0
Modified,dense_city,15,smooth_samples,12,success,1.0
Modified,dense_city,16,smooth_samples,12,success,1.0
Modified,dense_city,17,smooth_samples,12,success,1.0
Modified,dense_city,18,smooth_samples,12,success,1.0
Modified,dense_city,19,smooth_samples,12,success,1.0
Modified,dense_city,20,smooth_samples,12,success,1.0
Modified,dense_city,21,smooth_samples,12,success,1.0
Modified,dense_city,22,smooth_samples,12,success,1.0
Modified,dense_city,23,smooth_samples,12,success,1.0
Modified,dense_city,24,smooth_samples,12,success,1.0
Modified,dense_city,25,smooth_samples,12,success,1.0
Modified,dense_city,26,smooth_samples,12,success,1.0
Modified,dense_city,27,smooth_samples,12,success,1.0
Modified,dense_city,28,smooth_samples,12,success,1.0
Modified,dense_city,29,smooth_samples,12,success,1.0
Modified,normal_city,0,smooth_samples,24,success,1.0
Modified,normal_city,1,smooth_samples,24,success,1.0
Modified,normal_city,2,smooth_samples,24,success,1.0
Modified,normal_city,3,smooth_samples,24,success,1.0
Modified,normal_city,4,smooth_samples,24,success,1.0
Modified,normal_city,5,smooth_samples,24,success,1.0
Modified,normal_city,6,smooth_samples,24,success,1.0
Modified,normal_city,7,smooth_samples,24,success,1.0
Modified,normal_city,8,smooth_samples,24,success,1.0
Modified,normal_city,9,smooth_samples,24,success,1.0
Modified,normal_city,10,smooth_samples,24,success,1.0
Modified,normal_city,11,smooth_samples,24,success,1.0
Modified,normal_city,12,smooth_samples,24,success,1.0
Modified,normal_city,13,smooth_samples,24,success,1.0
Modified,normal_city,14,smooth_samples,24,success,1.0
Modified,normal_city,15,smooth_samples,24,success,1.0
Modified,normal_city,16,smooth_samples,24,success,1.0
Modified,normal_city,17,smooth_samples,24,success,1.0
Modified,normal_city,18,smooth_samples,24,success,1.0
Modified,normal_city,19,smooth_samples,24,success,1.0
Modified,normal_city,20,smooth_samples,24,success,1.0
Modified,normal_city,21,smooth_samples,24,success,1.0
Modified,normal_city,22,smooth_samples,24,success,1.0
Modified,normal_city,23,smooth_samples,24,success,1.0
Modified,normal_city,24,smooth_samples,24,success,1.0
Modified,normal_city,25,smooth_samples,24,success,1.0
Modified,normal_city,26,smooth_samples,24,success,1.0
Modified,normal_city,27,smooth_samples,24,success,1.0
Modified,normal_city,28,smooth_samples,24,success,1.0
Modified,normal_city,29,smooth_samples,24,success,1.0
Modified,blocked_road,0,smooth_samples,24,success,1.0
Modified,blocked_road,1,smooth_samples,24,success,1.0
Modified,blocked_road,2,smooth_samples,24,success,1.0
Modified,blocked_road,3,smooth_samples,24,success,1.0
Modified,blocked_road,4,smooth_samples,24,success,1.0
Modified,blocked_road,5,smooth_samples,24,success,1.0
Modified,blocked_road,6,smooth_samples,24,success,1.0
Modified,blocked_road,7,smooth_samples,24,success,1.0
Modified,blocked_road,8,smooth_samples,24,success,1.0
Modified,blocked_road,9,smooth_samples,24,success,1.0
Modified,blocked_road,10,smooth_samples,24,success,1.0
Modified,blocked_road,11,smooth_samples,24,success,1.0
Modified,blocked_road,12,smooth_samples,24,success,1.0
Modified,blocked_road,13,smooth_samples,24,success,1.0
Modified,blocked_road,14,smooth_samples,24,success,1.0
Modified,blocked_road,15,smooth_samples,24,success,1.0
Modified,blocked_road,16,smooth_samples,24,success,1.0
Modified,blocked_road,17,smooth_samples,24,success,1.0
Modified,blocked_road,18,smooth_samples,24,success,1.0
Modified,blocked_road,19,smooth_samples,24,success,1.0
Modified,blocked_road,20,smooth_samples,24,success,1.0
Modified,blocked_road,21,smooth_samples,24,success,1.0
Modified,blocked_road,22,smooth_samples,24,success,1.0
Modified,blocked_road,23,smooth_samples,24,success,1.0
Modified,blocked_road,24,smooth_samples,24,success,1.0
Modified,blocked_road,25,smooth_samples,24,success,1.0
Modified,blocked_road,26,smooth_samples,24,success,1.0
Modified,blocked_road,27,smooth_samples,24,success,1.0
Modified,blocked_road,28,smooth_samples,24,success,1.0
Modified,blocked_road,29,smooth_samples,24,success,1.0
Modified,dense_city,0,smooth_samples,24,success,1.0
Modified,dense_city,1,smooth_samples,24,success,1.0
Modified,dense_city,2,smooth_samples,24,success,1.0
Modified,dense_city,3,smooth_samples,24,success,1.0
Modified,dense_city,4,smooth_samples,24,success,1.0
Modified,dense_city,5,smooth_samples,24,success,1.0
Modified,dense_city,6,smooth_samples,24,success,1.0
Modified,dense_city,7,smooth_samples,24,success,1.0
Modified,dense_city,8,smooth_samples,24,success,1.0
Modified,dense_city,9,smooth_samples,24,success,0.0
Modified,dense_city,10,smooth_samples,24,success,1.0
Modified,dense_city,11,smooth_samples,24,success,1.0
Modified,dense_city,12,smooth_samples,24,success,1.0
Modified,dense_city,13,smooth_samples,24,success,1.0
Modified,dense_city,14,smooth_samples,24,success,1.0
Modified,dense_city,15,smooth_samples,24,success,1.0
Modified,dense_city,16,smooth_samples,24,success,1.0
Modified,dense_city,17,smooth_samples,24,success,1.0
Modified,dense_city,18,smooth_samples,24,success,1.0
Modified,dense_city,19,smooth_samples,24,success,1.0
Modified,dense_city,20,smooth_samples,24,success,1.0
Modified,dense_city,21,smooth_samples,24,success,1.0
Modified,dense_city,22,smooth_samples,24,success,1.0
Modified,dense_city,23,smooth_samples,24,success,1.0
Modified,dense_city,24,smooth_samples,24,success,1.0
Modified,dense_city,25,smooth_samples,24,success,1.0
Modified,dense_city,26,smooth_samples,24,success,1.0
Modified,dense_city,27,smooth_samples,24,success,1.0
Modified,dense_city,28,smooth_samples,24,success,1.0
Modified,dense_city,29,smooth_samples,24,success,1.0
Modified,normal_city,0,smooth_samples,48,success,1.0
Modified,normal_city,1,smooth_samples,48,success,1.0
Modified,normal_city,2,smooth_samples,48,success,1.0
Modified,normal_city,3,smooth_samples,48,success,1.0
Modified,normal_city,4,smooth_samples,48,success,1.0
Modified,normal_city,5,smooth_samples,48,success,1.0
Modified,normal_city,6,smooth_samples,48,success,1.0
Modified,normal_city,7,smooth_samples,48,success,1.0
Modified,normal_city,8,smooth_samples,48,success,1.0
Modified,normal_city,9,smooth_samples,48,success,1.0
Modified,normal_city,10,smooth_samples,48,success,1.0
Modified,normal_city,11,smooth_samples,48,success,1.0
Modified,normal_city,12,smooth_samples,48,success,1.0
Modified,normal_city,13,smooth_samples,48,success,1.0
Modified,normal_city,14,smooth_samples,48,success,1.0
Modified,normal_city,15,smooth_samples,48,success,1.0
Modified,normal_city,16,smooth_samples,48,success,1.0
Modified,normal_city,17,smooth_samples,48,success,1.0
Modified,normal_city,18,smooth_samples,48,success,1.0
Modified,normal_city,19,smooth_samples,48,success,1.0
Modified,normal_city,20,smooth_samples,48,success,1.0
Modified,normal_city,21,smooth_samples,48,success,1.0
Modified,normal_city,22,smooth_samples,48,success,1.0
Modified,normal_city,23,smooth_samples,48,success,1.0
Modified,normal_city,24,smooth_samples,48,success,1.0
Modified,normal_city,25,smooth_samples,48,success,1.0
Modified,normal_city,26,smooth_samples,48,success,1.0
Modified,normal_city,27,smooth_samples,48,success,1.0
Modified,normal_city,28,smooth_samples,48,success,1.0
Modified,normal_city,29,smooth_samples,48,success,1.0
Modified,blocked_road,0,smooth_samples,48,success,1.0
Modified,blocked_road,1,smooth_samples,48,success,1.0
Modified,blocked_road,2,smooth_samples,48,success,1.0
Modified,blocked_road,3,smooth_samples,48,success,1.0
Modified,blocked_road,4,smooth_samples,48,success,1.0
Modified,blocked_road,5,smooth_samples,48,success,1.0
Modified,blocked_road,6,smooth_samples,48,success,1.0
Modified,blocked_road,7,smooth_samples,48,success,1.0
Modified,blocked_road,8,smooth_samples,48,success,1.0
Modified,blocked_road,9,smooth_samples,48,success,1.0
Modified,blocked_road,10,smooth_samples,48,success,1.0
Modified,blocked_road,11,smooth_samples,48,success,1.0
Modified,blocked_road,12,smooth_samples,48,success,1.0
Modified,blocked_road,13,smooth_samples,48,success,1.0
Modified,blocked_road,14,smooth_samples,48,success,1.0
Modified,blocked_road,15,smooth_samples,48,success,1.0
Modified,blocked_road,16,smooth_samples,48,success,1.0
Modified,blocked_road,17,smooth_samples,48,success,1.0
Modified,blocked_road,18,smooth_samples,48,success,1.0
Modified,blocked_road,19,smooth_samples,48,success,1.0
Modified,blocked_road,20,smooth_samples,48,success,1.0
Modified,blocked_road,21,smooth_samples,48,success,1.0
Modified,blocked_road,22,smooth_samples,48,success,1.0
Modified,blocked_road,23,smooth_samples,48,success,1.0
Modified,blocked_road,24,smooth_samples,48,success,1.0
Modified,blocked_road,25,smooth_samples,48,success,1.0
Modified,blocked_road,26,smooth_samples,48,success,1.0
Modified,blocked_road,27,smooth_samples,48,success,1.0
Modified,blocked_road,28,smooth_samples,48,success,1.0
Modified,blocked_road,29,smooth_samples,48,success,1.0
Modified,dense_city,0,smooth_samples,48,success,1.0
Modified,dense_city,1,smooth_samples,48,success,1.0
Modified,dense_city,2,smooth_samples,48,success,1.0
Modified,dense_city,3,smooth_samples,48,success,1.0
Modified,dense_city,4,smooth_samples,48,success,1.0
Modified,dense_city,5,smooth_samples,48,success,1.0
Modified,dense_city,6,smooth_samples,48,success,1.0
Modified,dense_city,7,smooth_samples,48,success,1.0
Modified,dense_city,8,smooth_samples,48,success,1.0
Modified,dense_city,9,smooth_samples,48,success,0.0
Modified,dense_city,10,smooth_samples,48,success,1.0
Modified,dense_city,11,smooth_samples,48,success,1.0
Modified,dense_city,12,smooth_samples,48,success,1.0
Modified,dense_city,13,smooth_samples,48,success,1.0
Modified,dense_city,14,smooth_samples,48,success,1.0
Modified,dense_city,15,smooth_samples,48,success,1.0
Modified,dense_city,16,smooth_samples,48,success,1.0
Modified,dense_city,17,smooth_samples,48,success,1.0
Modified,dense_city,18,smooth_samples,48,success,1.0
Modified,dense_city,19,smooth_samples,48,success,1.0
Modified,dense_city,20,smooth_samples,48,success,1.0
Modified,dense_city,21,smooth_samples,48,success,1.0
Modified,dense_city,22,smooth_samples,48,success,1.0
Modified,dense_city,23,smooth_samples,48,success,1.0
Modified,dense_city,24,smooth_samples,48,success,1.0
Modified,dense_city,25,smooth_samples,48,success,1.0
Modified,dense_city,26,smooth_samples,48,success,1.0
Modified,dense_city,27,smooth_samples,48,success,1.0
Modified,dense_city,28,smooth_samples,48,success,1.0
Modified,dense_city,29,smooth_samples,48,success,1.0
Modified,normal_city,0,smooth_samples,12,path_length,150.173
Modified,normal_city,1,smooth_samples,12,path_length,159.028
Modified,normal_city,2,smooth_samples,12,path_length,153.071
Modified,normal_city,3,smooth_samples,12,path_length,157.696
Modified,normal_city,4,smooth_samples,12,path_length,159.198
Modified,normal_city,5,smooth_samples,12,path_length,151.409
Modified,normal_city,6,smooth_samples,12,path_length,145.821
Modified,normal_city,7,smooth_samples,12,path_length,152.15
Modified,normal_city,8,smooth_samples,12,path_length,193.784
Modified,normal_city,9,smooth_samples,12,path_length,148.208
Modified,normal_city,10,smooth_samples,12,path_length,151.917
Modified,normal_city,11,smooth_samples,12,path_length,151.767
Modified,normal_city,12,smooth_samples,12,path_length,161.515
Modified,normal_city,13,smooth_samples,12,path_length,154.529
Modified,normal_city,14,smooth_samples,12,path_length,149.083
Modified,normal_city,15,smooth_samples,12,path_length,150.58
Modified,normal_city,16,smooth_samples,12,path_length,147.421
Modified,normal_city,17,smooth_samples,12,path_length,150.6
Modified,normal_city,18,smooth_samples,12,path_length,148.835
Modified,normal_city,19,smooth_samples,12,path_length,154.405
Modified,normal_city,20,smooth_samples,12,path_length,152.017
Modified,normal_city,21,smooth_samples,12,path_length,154.308
Modified,normal_city,22,smooth_samples,12,path_length,161.029
Modified,normal_city,23,smooth_samples,12,path_length,151.07
Modified,normal_city,24,smooth_samples,12,path_length,152.903
Modified,normal_city,25,smooth_samples,12,path_length,155.129
Modified,normal_city,26,smooth_samples,12,path_length,146.091
Modified,normal_city,27,smooth_samples,12,path_length,160.608
Modified,normal_city,28,smooth_samples,12,path_length,156.606
Modified,normal_city,29,smooth_samples,12,path_length,148.512
Modified,blocked_road,0,smooth_samples,12,path_length,200.446
Modified,blocked_road,1,smooth_samples,12,path_length,206.899
Modified,blocked_road,2,smooth_samples,12,path_length,183.536
Modified,blocked_road,3,smooth_samples,12,path_length,162.19
Modified,blocked_road,4,smooth_samples,12,path_length,299.716
Modified,blocked_road,5,smooth_samples,12,path_length,212.361
Modified,blocked_road,6,smooth_samples,12,path_length,167.232
Modified,blocked_road,7,smooth_samples,12,path_length,160.463
Modified,blocked_road,8,smooth_samples,12,path_length,172.413
Modified,blocked_road,9,smooth_samples,12,path_length,163.878
Modified,blocked_road,10,smooth_samples,12,path_length,188.161
Modified,blocked_road,11,smooth_samples,12,path_length,186.021
Modified,blocked_road,12,smooth_samples,12,path_length,205.526
Modified,blocked_road,13,smooth_samples,12,path_length,167.137
Modified,blocked_road,14,smooth_samples,12,path_length,202.053
Modified,blocked_road,15,smooth_samples,12,path_length,205.075
Modified,blocked_road,16,smooth_samples,12,path_length,200.498
Modified,blocked_road,17,smooth_samples,12,path_length,157.315
Modified,blocked_road,18,smooth_samples,12,path_length,160.321
Modified,blocked_road,19,smooth_samples,12,path_length,198.629
Modified,blocked_road,20,smooth_samples,12,path_length,196.729
Modified,blocked_road,21,smooth_samples,12,path_length,165.116
Modified,blocked_road,22,smooth_samples,12,path_length,153.547
Modified,blocked_road,23,smooth_samples,12,path_length,146.76
Modified,blocked_road,24,smooth_samples,12,path_length,157.978
Modified,blocked_road,25,smooth_samples,12,path_length,156.26
Modified,blocked_road,26,smooth_samples,12,path_length,165.396
Modified,blocked_road,27,smooth_samples,12,path_length,163.047
Modified,blocked_road,28,smooth_samples,12,path_length,163.776
Modified,blocked_road,29,smooth_samples,12,path_length,152.738
Modified,dense_city,0,smooth_samples,12,path_length,168.45
Modified,dense_city,1,smooth_samples,12,path_length,158.97
Modified,dense_city,2,smooth_samples,12,path_length,206.997
Modified,dense_city,3,smooth_samples,12,path_length,162.236
Modified,dense_city,4,smooth_samples,12,path_length,159.762
Modified,dense_city,5,smooth_samples,12,path_length,161.341
Modified,dense_city,6,smooth_samples,12,path_length,179.374
Modified,dense_city,7,smooth_samples,12,path_length,197.119
Modified,dense_city,8,smooth_samples,12,path_length,156.143
Modified,dense_city,9,smooth_samples,12,path_length,
Modified,dense_city,10,smooth_samples,12,path_length,154.198
Modified,dense_city,11,smooth_samples,12,path_length,158.871
Modified,dense_city,12,smooth_samples,12,path_length,162.688
Modified,dense_city,13,smooth_samples,12,path_length,157.784
Modified,dense_city,14,smooth_samples,12,path_length,176.807
Modified,dense_city,15,smooth_samples,12,path_length,256.194
Modified,dense_city,16,smooth_samples,12,path_length,154.745
Modified,dense_city,17,smooth_samples,12,path_length,184.604
Modified,dense_city,18,smooth_samples,12,path_length,164.683
Modified,dense_city,19,smooth_samples,12,path_length,159.85
Modified,dense_city,20,smooth_samples,12,path_length,151.247
Modified,dense_city,21,smooth_samples,12,path_length,155.035
Modified,dense_city,22,smooth_samples,12,path_length,154.395
Modified,dense_city,23,smooth_samples,12,path_length,157.416
Modified,dense_city,24,smooth_samples,12,path_length,149.607
Modified,dense_city,25,smooth_samples,12,path_length,152.227
Modified,dense_city,26,smooth_samples,12,path_length,154.368
Modified,dense_city,27,smooth_samples,12,path_length,152.803
Modified,dense_city,28,smooth_samples,12,path_length,164.355
Modified,dense_city,29,smooth_samples,12,path_length,165.055
Modified,normal_city,0,smooth_samples,24,path_length,150.442
Modified,normal_city,1,smooth_samples,24,path_length,159.276
Modified,normal_city,2,smooth_samples,24,path_length,153.253
Modified,normal_city,3,smooth_samples,24,path_length,157.838
Modified,normal_city,4,smooth_samples,24,path_length,159.383
Modified,normal_city,5,smooth_samples,24,path_length,151.623
Modified,normal_city,6,smooth_samples,24,path_length,145.826
Modified,normal_city,7,smooth_samples,24,path_length,152.348
Modified,normal_city,8,smooth_samples,24,path_length,193.765
Modified,normal_city,9,smooth_samples,24,path_length,148.228
Modified,normal_city,10,smooth_samples,24,path_length,152.05
Modified,normal_city,11,smooth_samples,24,path_length,151.762
Modified,normal_city,12,smooth_samples,24,path_length,161.553
Modified,normal_city,13,smooth_samples,24,path_length,154.808
Modified,normal_city,14,smooth_samples,24,path_length,149.26
Modified,normal_city,15,smooth_samples,24,path_length,150.79
Modified,normal_city,16,smooth_samples,24,path_length,147.59
Modified,normal_city,17,smooth_samples,24,path_length,150.6
Modified,normal_city,18,smooth_samples,24,path_length,149.044
Modified,normal_city,19,smooth_samples,24,path_length,154.539
Modified,normal_city,20,smooth_samples,24,path_length,152.431
Modified,normal_city,21,smooth_samples,24,path_length,154.495
Modified,normal_city,22,smooth_samples,24,path_length,161.174
Modified,normal_city,23,smooth_samples,24,path_length,151.076
Modified,normal_city,24,smooth_samples,24,path_length,153.04
Modified,normal_city,25,smooth_samples,24,path_length,155.35
Modified,normal_city,26,smooth_samples,24,path_length,146.316
Modified,normal_city,27,smooth_samples,24,path_length,160.81
Modified,normal_city,28,smooth_samples,24,path_length,156.828
Modified,normal_city,29,smooth_samples,24,path_length,148.722
