planner,scenario,instance,parameter,value,metric,result
Modified,normal_city,0,turn_threshold,0.2,success,1.0
Modified,normal_city,1,turn_threshold,0.2,success,1.0
Modified,normal_city,2,turn_threshold,0.2,success,1.0
Modified,normal_city,3,turn_threshold,0.2,success,1.0
Modified,normal_city,4,turn_threshold,0.2,success,1.0
Modified,normal_city,5,turn_threshold,0.2,success,1.0
Modified,normal_city,6,turn_threshold,0.2,success,1.0
Modified,normal_city,7,turn_threshold,0.2,success,1.0
Modified,normal_city,8,turn_threshold,0.2,success,1.0
Modified,normal_city,9,turn_threshold,0.2,success,1.0
Modified,normal_city,10,turn_threshold,0.2,success,1.0
Modified,normal_city,11,turn_threshold,0.2,success,1.0
Modified,normal_city,12,turn_threshold,0.2,success,1.0
Modified,normal_city,13,turn_threshold,0.2,success,1.0
Modified,normal_city,14,turn_threshold,0.2,success,1.0
Modified,normal_city,15,turn_threshold,0.2,success,1.0
Modified,normal_city,16,turn_threshold,0.2,success,1.0
Modified,normal_city,17,turn_threshold,0.2,success,1.0
Modified,normal_city,18,turn_threshold,0.2,success,1.0
Modified,normal_city,19,turn_threshold,0.2,success,1.0
Modified,normal_city,20,turn_threshold,0.2,success,1.0
Modified,normal_city,21,turn_threshold,0.2,success,1.0
Modified,normal_city,22,turn_threshold,0.2,success,1.0
Modified,normal_city,23,turn_threshold,0.2,success,1.0
Modified,normal_city,24,turn_threshold,0.2,success,1.0
Modified,normal_city,25,turn_threshold,0.2,success,1.0
Modified,normal_city,26,turn_threshold,0.2,success,1.0
Modified,normal_city,27,turn_threshold,0.2,success,1.0
Modified,normal_city,28,turn_threshold,0.2,success,1.0
Modified,normal_city,29,turn_threshold,0.2,success,1.0
Modified,blocked_road,0,turn_threshold,0.2,success,1.0
Modified,blocked_road,1,turn_threshold,0.2,success,1.0
Modified,blocked_road,2,turn_threshold,0.2,success,1.0
Modified,blocked_road,3,turn_threshold,0.2,success,1.0
Modified,blocked_road,4,turn_threshold,0.2,success,1.0
Modified,blocked_road,5,turn_threshold,0.2,success,1.0
Modified,blocked_road,6,turn_threshold,0.2,success,1.0
Modified,blocked_road,7,turn_threshold,0.2,success,1.0
Modified,blocked_road,8,turn_threshold,0.2,success,1.0
Modified,blocked_road,9,turn_threshold,0.2,success,1.0
Modified,blocked_road,10,turn_threshold,0.2,success,1.0
Modified,blocked_road,11,turn_threshold,0.2,success,1.0
Modified,blocked_road,12,turn_threshold,0.2,success,1.0
Modified,blocked_road,13,turn_threshold,0.2,success,1.0
Modified,blocked_road,14,turn_threshold,0.2,success,1.0
Modified,blocked_road,15,turn_threshold,0.2,success,1.0
Modified,blocked_road,16,turn_threshold,0.2,success,1.0
Modified,blocked_road,17,turn_threshold,0.2,success,1.0
Modified,blocked_road,18,turn_threshold,0.2,success,1.0
Modified,blocked_road,19,turn_threshold,0.2,success,1.0
Modified,blocked_road,20,turn_threshold,0.2,success,1.0
Modified,blocked_road,21,turn_threshold,0.2,success,1.0
Modified,blocked_road,22,turn_threshold,0.2,success,1.0
Modified,blocked_road,23,turn_threshold,0.2,success,1.0
Modified,blocked_road,24,turn_threshold,0.2,success,1.0
Modified,blocked_road,25,turn_threshold,0.2,success,1.0
Modified,blocked_road,26,turn_threshold,0.2,success,1.0
Modified,blocked_road,27,turn_threshold,0.2,success,1.0
Modified,blocked_road,28,turn_threshold,0.2,success,1.0
Modified,blocked_road,29,turn_threshold,0.2,success,1.0
Modified,dense_city,0,turn_threshold,0.2,success,1.0
Modified,dense_city,1,turn_threshold,0.2,success,1.0
Modified,dense_city,2,turn_threshold,0.2,success,1.0
Modified,dense_city,3,turn_threshold,0.2,success,1.0
Modified,dense_city,4,turn_threshold,0.2,success,1.0
Modified,dense_city,5,turn_threshold,0.2,success,1.0
Modified,dense_city,6,turn_threshold,0.2,success,1.0
Modified,dense_city,7,turn_threshold,0.2,success,1.0
Modified,dense_city,8,turn_threshold,0.2,success,1.0
Modified,dense_city,9,turn_threshold,0.2,success,0.0
Modified,dense_city,10,turn_threshold,0.2,success,1.0
Modified,dense_city,11,turn_threshold,0.2,success,1.0
Modified,dense_city,12,turn_threshold,0.2,success,1.0
Modified,dense_city,13,turn_threshold,0.2,success,1.0
Modified,dense_city,14,turn_threshold,0.2,success,1.0
Modified,dense_city,15,turn_threshold,0.2,success,1.0
Modified,dense_city,16,turn_threshold,0.2,success,1.0
Modified,dense_city,17,turn_threshold,0.2,success,1.0
Modified,dense_city,18,turn_threshold,0.2,success,1.0
Modified,dense_city,19,turn_threshold,0.2,success,1.0
Modified,dense_city,20,turn_threshold,0.2,success,1.0
Modified,dense_city,21,turn_threshold,0.2,success,1.0
Modified,dense_city,22,turn_threshold,0.2,success,1.0
Modified,dense_city,23,turn_threshold,0.2,success,1.0
Modified,dense_city,24,turn_threshold,0.2,success,1.0
Modified,dense_city,25,turn_threshold,0.2,success,1.0
Modified,dense_city,26,turn_threshold,0.2,success,1.0
Modified,dense_city,27,turn_threshold,0.2,success,1.0
Modified,dense_city,28,turn_threshold,0.2,success,1.0
Modified,dense_city,29,turn_threshold,0.2,success,1.0
Modified,normal_city,0,turn_threshold,0.35,success,1.0
Modified,normal_city,1,turn_threshold,0.35,success,1.0
Modified,normal_city,2,turn_threshold,0.35,success,1.0
Modified,normal_city,3,turn_threshold,0.35,success,1.0
Modified,normal_city,4,turn_threshold,0.35,success,1.0
Modified,normal_city,5,turn_threshold,0.35,success,1.0
Modified,normal_city,6,turn_threshold,0.35,success,1.0
Modified,normal_city,7,turn_threshold,0.35,success,1.0
Modified,normal_city,8,turn_threshold,0.35,success,1.0
Modified,normal_city,9,turn_threshold,0.35,success,1.0
Modified,normal_city,10,turn_threshold,0.35,success,1.0
Modified,normal_city,11,turn_threshold,0.35,success,1.0
Modified,normal_city,12,turn_threshold,0.35,success,1.0
Modified,normal_city,13,turn_threshold,0.35,success,1.0
Modified,normal_city,14,turn_threshold,0.35,success,1.0
Modified,normal_city,15,turn_threshold,0.35,success,1.0
Modified,normal_city,16,turn_threshold,0.35,success,1.0
Modified,normal_city,17,turn_threshold,0.35,success,1.0
Modified,normal_city,18,turn_threshold,0.35,success,1.0
Modified,normal_city,19,turn_threshold,0.35,success,1.0
Modified,normal_city,20,turn_threshold,0.35,success,1.0
Modified,normal_city,21,turn_threshold,0.35,success,1.0
