parameter,value,n_maps,n_solved,success,drive_time_curved,chosen,planner
apf_k_rep,60.0,60,0,0.0,inf,False,APF
apf_k_rep,120.0,60,18,0.3,68.1911,True,APF
apf_k_rep,240.0,60,17,0.2833,95.1151,False,APF
apf_rho0,2.0,60,0,0.0,inf,False,APF
apf_rho0,3.0,60,18,0.3,68.1911,True,APF
apf_rho0,4.5,60,18,0.3,74.6311,False,APF
apf_step,0.5,60,17,0.2833,50.789,False,APF
apf_step,0.7,60,18,0.3,68.1911,True,APF
apf_step,1.0,60,19,0.3167,100.8818,False,APF
rrt_step,3.0,60,60,1.0,30.731,False,RRT*
rrt_step,4.0,60,60,1.0,30.7197,True,RRT*
rrt_step,6.0,60,60,1.0,34.2792,False,RRT*
rrt_radius,6.0,60,60,1.0,40.2238,False,RRT*
rrt_radius,8.0,60,60,1.0,30.7197,False,RRT*
rrt_radius,12.0,60,60,1.0,27.9661,True,RRT*
rrt_goal_bias,0.05,60,60,1.0,31.1537,False,RRT*
rrt_goal_bias,0.1,60,60,1.0,30.7197,True,RRT*
rrt_goal_bias,0.2,60,59,0.9833,31.0118,False,RRT*
stuck_window_fixed,8.0,60,60,1.0,54.0802,True,Hybrid
stuck_window_fixed,12.0,60,60,1.0,56.5799,False,Hybrid
stuck_window_fixed,18.0,60,60,1.0,56.9241,False,Hybrid
stuck_delta,1.5,60,60,1.0,56.5799,False,Hybrid
stuck_delta,2.0,60,60,1.0,56.5799,False,Hybrid
stuck_delta,3.0,60,60,1.0,55.5057,True,Hybrid
subgoal_dist,12.0,60,60,1.0,57.8316,False,Hybrid
subgoal_dist,18.0,60,60,1.0,56.5799,True,Hybrid
subgoal_dist,27.0,60,60,1.0,56.5799,False,Hybrid
stuck_window_min,3.0,60,60,1.0,40.8606,False,Modified
stuck_window_min,4.0,60,60,1.0,40.8606,True,Modified
stuck_window_min,6.0,60,60,1.0,41.233,False,Modified
density_radius,4.0,60,60,1.0,41.233,False,Modified
density_radius,6.0,60,60,1.0,40.8606,True,Modified
density_radius,9.0,60,60,1.0,41.0115,False,Modified
smooth_offset,3.0,60,60,1.0,41.8867,False,Modified
smooth_offset,4.0,60,60,1.0,40.8606,False,Modified
smooth_offset,6.0,60,60,1.0,38.9148,True,Modified
