scenario,algorithm,instance,repeat,success,path_length,astar_length,length_ratio,comp_time,smoothness,curvature,max_curvature,clearance_min,clearance_mean,total_turning,sharp_turns,radius_violated,drive_time_curved,switches,false_alarm,time_to_detection,collision_checks,planner,parameter,value
normal_city,APF,0,0,1,168.0,139.64,1.2031,0.02452,0.2288,1.0225,1.9376,1.82,3.285,171.7783,116,1,64.8145,0,0.0,,720,APF,apf_k_rep,120.0
normal_city,APF,1,0,1,172.2,143.154,1.2029,0.02541,0.2379,1.0635,3.3141,1.768,3.915,183.1324,107,1,61.351,0,0.0,,738,APF,apf_k_rep,120.0
normal_city,APF,2,0,0,2800.0,143.154,19.5593,0.34274,0.9572,4.2946,10.472,1.742,2.419,12024.923,3881,1,1697.4033,0,0.0,,12000,APF,apf_k_rep,120.0
normal_city,APF,3,0,1,177.8,140.811,1.2627,0.0289,0.2524,1.1285,4.6259,1.956,2.918,200.6485,122,1,68.3969,0,0.0,,762,APF,apf_k_rep,120.0
normal_city,APF,4,0,1,181.3,141.983,1.2769,0.02649,0.2579,1.1531,4.2008,1.742,3.311,209.0536,119,1,70.6932,0,0.0,,777,APF,apf_k_rep,120.0
normal_city,APF,5,0,1,170.8,141.397,1.2079,0.02742,0.2303,1.0295,3.1577,1.78,3.778,175.847,105,1,61.9027,0,0.0,,732,APF,apf_k_rep,120.0
normal_city,APF,6,0,1,174.3,143.154,1.2176,0.0262,0.2372,1.0602,2.7664,1.759,3.169,184.7952,116,1,71.5104,0,0.0,,747,APF,apf_k_rep,120.0
normal_city,APF,7,0,1,172.9,141.983,1.2178,0.02602,0.2319,1.0364,2.4309,1.742,2.931,179.2008,113,1,66.5207,0,0.0,,741,APF,apf_k_rep,120.0
normal_city,APF,8,0,0,2800.0,141.397,19.8024,0.3548,0.8959,4.0197,10.0066,1.768,2.501,11255.2316,3883,1,1778.9694,0,0.0,,12000,APF,apf_k_rep,120.0
normal_city,APF,9,0,1,175.0,140.811,1.2428,0.02607,0.242,1.0816,2.8597,1.742,2.912,189.2764,117,1,71.4081,0,0.0,,750,APF,apf_k_rep,120.0
normal_city,APF,10,0,1,175.0,141.983,1.2325,0.02785,0.2393,1.0698,2.6361,1.794,2.96,187.2204,118,1,72.7203,0,0.0,,750,APF,apf_k_rep,120.0
normal_city,APF,11,0,1,170.8,140.811,1.213,0.02394,0.2293,1.025,3.0979,1.759,3.79,175.0676,106,1,62.0011,0,0.0,,732,APF,apf_k_rep,120.0
normal_city,APF,12,0,0,13.3,140.811,0.0945,0.00857,0.0143,0.0607,0.3974,1.88,3.333,0.8069,1,0,2.5633,0,0.0,,60,APF,apf_k_rep,120.0
normal_city,APF,13,0,0,2800.0,141.983,19.7207,0.36221,0.8741,3.9218,8.7146,1.794,2.288,10981.0749,3926,1,1788.9963,0,0.0,,12000,APF,apf_k_rep,120.0
normal_city,APF,14,0,1,176.4,140.811,1.2527,0.02801,0.248,1.1084,3.2263,1.78,2.973,195.5248,114,1,68.673,0,0.0,,756,APF,apf_k_rep,120.0
normal_city,APF,15,0,0,58.1,140.811,0.4126,0.0128,0.0975,0.4324,1.8343,1.742,2.757,25.1209,24,1,18.3087,0,0.0,,251,APF,apf_k_rep,120.0
normal_city,APF,16,0,1,172.2,140.811,1.2229,0.02722,0.2344,1.0476,2.0568,1.82,2.939,180.4019,120,1,71.4025,0,0.0,,738,APF,apf_k_rep,120.0
normal_city,APF,17,0,1,172.2,142.569,1.2078,0.02454,0.228,1.019,2.5247,1.768,3.025,175.4767,114,1,69.7117,0,0.0,,738,APF,apf_k_rep,120.0
normal_city,APF,18,0,1,176.4,141.397,1.2476,0.03085,0.2454,1.0971,2.8523,1.742,2.945,193.5336,117,1,66.5311,0,0.0,,756,APF,apf_k_rep,120.0
normal_city,APF,19,0,1,178.5,140.811,1.2677,0.02764,0.2651,1.185,3.1549,1.82,2.965,211.527,130,1,76.1772,0,0.0,,765,APF,apf_k_rep,120.0
blocked_road,APF,0,0,0,2800.0,150.77,18.5714,0.3564,0.8216,3.6866,9.2943,1.82,2.304,10322.4897,3925,1,1898.9165,0,,,12000,APF,apf_k_rep,120.0
blocked_road,APF,1,0,1,169.4,147.255,1.1504,0.02333,0.1631,0.7288,2.4973,1.768,4.428,123.465,76,1,56.3559,0,,,726,APF,apf_k_rep,120.0
blocked_road,APF,2,0,0,46.2,149.012,0.31,0.00959,0.0776,0.3429,1.2045,1.742,2.673,15.8432,17,1,12.9886,0,,,201,APF,apf_k_rep,120.0
blocked_road,APF,3,0,0,47.6,147.841,0.322,0.01187,0.0734,0.3244,2.0542,1.788,2.831,15.4419,14,1,14.7764,0,,,207,APF,apf_k_rep,120.0
